,week,position,name,overall_rank,Andy Behrens,Scott Pianowski,Dalton Del Don,Matt Harmon,Kate Magdziuk,Tera Roberts,points,ranking,overall_rank_error,Andy Behrens_error,Scott Pianowski_error,Dalton Del Don_error,Matt Harmon_error,Kate Magdziuk_error,Tera Roberts_error
71,3,K,Younghoe Koo,12.0,10.0,,,11.0,,11.0,7,14.0,2.0,4.0,,,3.0,,3.0
72,3,K,Chase McLaughlin,,,,9.0,,,,1,29.0,,,,20.0,,,
73,3,K,Jake Bates,,12.0,10.0,12.0,,,,2,26.0,,14.0,16.0,14.0,,,
74,3,K,Cairo Santos,,,,11.0,,11.0,,6,15.0,,,,4.0,,4.0,
75,3,K,Jason Myers,,,,,,,,8,12.0,,,,,,,
76,3,K,Dustin Hopkins,,,,,,,,1,29.0,,,,,,,
77,3,K,Chris Boswell,,,,,,,,8,12.0,,,,,,,
78,3,K,Matt Prater,,,,,,,,9,8.0,,,,,,,
79,3,K,Greg Zuerlein,,,,,,,,6,15.0,,,,,,,
80,3,K,Jason Sanders,,,,,,,,3,23.0,,,,,,,
81,3,K,Will Reichard,,,,,,,,12,5.0,,,,,,,
82,3,K,Brayden Narveson,,,,,,,,13,2.0,,,,,,,
83,3,K,Cam Little,,,,,,,,5,19.0,,,,,,,
84,3,K,Joshua Karty,,,,,,,,9,8.0,,,,,,,
85,3,K,Wil Lutz,,,,,,,,16,1.0,,,,,,,
86,3,K,Matt Gay,,,,,,,,3,23.0,,,,,,,
87,3,K,Austin Seibert,,,,,,,,9,8.0,,,,,,,
88,3,K,Eddy Pineiro,,,,,,,,13,2.0,,,,,,,
89,3,K,Joey Slye,,,,,,,,4,20.0,,,,,,,
90,3,K,Nick Folk,,,,,,,,2,26.0,,,,,,,
91,4,K,Brandon Aubrey,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
92,4,K,Ka'imi Fairbairn,2.0,3.0,2.0,2.0,3.0,2.0,2.0,6,21.0,19.0,18.0,19.0,19.0,18.0,19.0,19.0
93,4,K,Harrison Butker,3.0,2.0,3.0,4.0,2.0,3.0,4.0,5,26.0,23.0,24.0,23.0,22.0,24.0,23.0,22.0
94,4,K,Jake Moody,4.0,5.0,4.0,3.0,5.0,6.0,3.0,13,5.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0
95,4,K,Evan McPherson,5.0,4.0,5.0,5.0,4.0,4.0,5.0,13,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
96,4,K,Matt Prater,6.0,9.0,6.0,6.0,7.0,8.0,8.0,2,31.0,25.0,22.0,25.0,25.0,24.0,23.0,23.0
97,4,K,Justin Tucker,7.0,8.0,8.0,8.0,6.0,7.0,7.0,5,26.0,19.0,18.0,18.0,18.0,20.0,19.0,19.0
98,4,K,Younghoe Koo,8.0,7.0,7.0,7.0,8.0,10.0,6.0,20,2.0,6.0,5.0,5.0,5.0,6.0,8.0,4.0
99,4,K,Blake Grupe,9.0,6.0,9.0,10.0,9.0,5.0,11.0,7,17.0,8.0,11.0,8.0,7.0,8.0,12.0,6.0
100,4,K,Chase McLaughlin,10.0,10.0,11.0,11.0,10.0,11.0,10.0,11,7.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0
101,4,K,Chris Boswell,11.0,11.0,10.0,9.0,11.0,12.0,12.0,8,16.0,5.0,5.0,6.0,7.0,5.0,4.0,4.0
102,4,K,Jason Myers,12.0,,12.0,12.0,12.0,,,3,29.0,17.0,,17.0,17.0,17.0,,
103,4,K,Tyler Bass,,,,,,9.0,,6,21.0,,,,,,12.0,
104,4,K,Jake Elliott,,,,,,,9.0,2,31.0,,,,,,,22.0
105,4,K,Jake Bates,,12.0,,,,,,6,21.0,,9.0,,,,,
106,4,K,Dustin Hopkins,,,,,,,,6,21.0,,,,,,,
107,4,K,Cairo Santos,,,,,,,,7,17.0,,,,,,,
108,4,K,Daniel Carlson,,,,,,,,10,12.0,,,,,,,
109,4,K,Will Reichard,,,,,,,,7,17.0,,,,,,,
110,4,K,Brayden Narveson,,,,,,,,3,29.0,,,,,,,
111,4,K,Cameron Dicker,,,,,,,,6,21.0,,,,,,,
112,4,K,Greg Zuerlein,,,,,,,,10,12.0,,,,,,,
113,4,K,Wil Lutz,,,,,,,,5,26.0,,,,,,,
114,4,K,Austin Seibert,,,,,,,,11,7.0,,,,,,,
115,4,K,Jason Sanders,,,,,,,,9,14.0,,,,,,,
116,4,K,Cam Little,,,,,,,,11,7.0,,,,,,,
117,4,K,Greg Joseph,,,,,,,,19,3.0,,,,,,,
118,4,K,Eddy Pineiro,,,,,,,,7,17.0,,,,,,,
119,4,K,Joshua Karty,,,,,,,,15,4.0,,,,,,,
120,4,K,Nick Folk,,,,,,,,24,1.0,,,,,,,
121,4,K,Joey Slye,,,,,,,,11,7.0,,,,,,,
122,4,K,Matt Gay,,,,,,,,9,14.0,,,,,,,
123,5,K,Brandon Aubrey,1.0,1.0,1.0,2.0,1.0,1.0,1.0,10,12.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0
124,5,K,Harrison Butker,2.0,2.0,3.0,3.0,2.0,3.0,2.0,14,5.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0
125,5,K,Ka'imi Fairbairn,3.0,3.0,2.0,7.0,3.0,2.0,3.0,16,2.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0
126,5,K,Younghoe Koo,4.0,4.0,4.0,6.0,4.0,4.0,4.0,17,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0
127,5,K,Justin Tucker,5.0,5.0,6.0,5.0,5.0,6.0,7.0,13,7.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0
128,5,K,Jake Moody,6.0,7.0,5.0,1.0,6.0,11.0,5.0,8,17.0,11.0,10.0,12.0,16.0,11.0,6.0,12.0
